type,name,top_1,top_5,mAP,mIoU,AP,CA,Precision,FID
1,ResNet18,69.8,89,,,,,,
1,ResNet50,76,92.8,,,,,,
1,ResNet101,77.4,93.3,,,,,,
1,ResNet152,78.3,93.9,,,,,,
1,VGG16,71.3,89.8,,,,,,
1,VGG19,71.6,89.8,,,,,,
1,EfficientNetB0,77.9,94.5,,,,,,
1,InceptionV3,77.9,93.3,,,,,,
1,DenseNet121,74.9,92.1,,,,,,
2,YOLOv3,,,57.9,,,,,
2,YOLOv4,,,43.5,,,,,
2,YOLOv5,,,45,,,,,
2,YOLOv7,,,50.3,,,,,
2,Faster R-CNN,,,36.2,,,,,
2,RetinaNet,,,39.1,,,,,
2,SSD,,,42,,,,,
3,FCN,,,,62,,,,
3,U-Net,,,,87,,,,
3,DeepLabV3,,,,61,,,,
3,SegNet,,,,58,,,,
4,Mask R-CNN,,,,,35,,,
4,YOLACT,,,,,28,,,
4,Panoptic FPN,,,,,37,,,
5,CRNN,,,,,,85,,
5,Tesseract OCR,,,,,,85,,
5,ASTER,,,,,,92,,
6,MTCNN,,,,,,,99,
6,RetinaFace,,,,,,,94,
6,FaceNet,,,,,,,99,
7,GAN,,,,,,,,25
7,StyleGAN2,,,,,,,,15
7,VQ-VAE-2,,,,,,,,10
