,edge_1,edge_2,edge_3,edge_4,edge_5,edge_6,edge_7,edge_8,cloud_1,cloud_2
edge_1,0.0,953.6557182263065,995.3141476861821,636.817921622547,439.21245011621073,408.8567467387995,111.11517897304606,201.7909485809216,48.04839640823215,36.36655970799231
edge_2,609.8080147424384,0.0,737.0749064674673,287.4151290581633,970.3831121739876,242.0483293213801,383.61651734447497,175.12248969049838,15.016781789461586,13.14910448907241
edge_3,314.4017190318285,287.517298937074,0.0,430.36548364698825,286.496159300082,591.9098202800309,973.8582202080664,603.8412770076482,70.11441680178342,36.37298041009558
edge_4,518.7875366098679,973.200256684567,675.8391249349097,0.0,781.831115592921,679.2966200823603,181.07996348500947,395.293562884743,69.244582626818,52.74509148068353
edge_5,301.149886551306,348.81063907430837,935.2487540863134,221.2420991456507,0.0,539.0532522740174,782.0859436738345,734.4128474115262,78.57902897429236,13.825651597467871
edge_6,383.69123295915495,844.9215175198121,665.2899016445562,730.8633303113859,873.1223723110643,0.0,155.1211819341899,544.3951741783483,60.81836295942061,63.52806451697829
edge_7,884.140724412976,524.3597904314008,445.8489280124599,419.96926857444794,860.2946641620533,129.6267139117122,0.0,315.2742036236591,40.765328509978104,43.96327142678147
edge_8,312.01434553105344,242.16993723844666,655.3614067652369,267.1041544163658,882.9843894050799,491.74510433169075,547.576092166329,0.0,54.89711260789265,75.12212033793348
cloud_1,56.34701537831249,43.55973971120498,93.34031091225754,67.58714552113227,78.46314981453489,47.49793738646682,38.193454419585606,81.96012616744059,0.0,180.7877511596505
cloud_2,30.19662676090505,43.57949401455953,24.867606418380795,33.970151604436765,65.35811240212223,29.122215583863113,98.93063151823982,64.11691723953588,100.77904516160577,0.0
